LFQ intensity Gua_1	LFQ intensity Gua_2	LFQ intensity Gua_3	LFQ intensity RG/SDC_1	LFQ intensity RG/SDC_2	LFQ intensity RG/SDC_3	LFQ intensity RG_1	LFQ intensity RG_2	LFQ intensity RG_3	LFQ intensity SDC_1	LFQ intensity SDC_2	LFQ intensity SDC_3	LFQ intensity Urea_1	LFQ intensity Urea_2	LFQ intensity Urea_3	Only identified by site	Reverse	Protein IDs	Majority protein IDs	Protein names	Gene names
6.42877	6.52462	6.12467	6.64958	6.70599	6.59027	6.53336	6.28355	6.21924	6.41075	6.5671	5.97188	6.47331	6.37358	6.55148			NP_248766.1;AAG03466.1	NP_248766.1;AAG03466.1		
6.05998	5.91371	6.54549	7.24311	7.37247	7.43056	7.43785	7.47737	7.44386	7.33104	7.14007	6.46848	5.90106	6.99013	7.16068			NP_248767.1;AAG03467.1	NP_248767.1;AAG03467.1		
7.3839	6.50017	7.40109	7.6709	7.75847	7.87043	7.56431	7.64174	7.48002	7.54236	7.53634	7.64506	6.30243	7.07569	7.16817			NP_248768.1;AAG03468.1	NP_248768.1;AAG03468.1		
7.14768	6.99357	7.29086	7.30617	7.36614	7.31201	7.44517	7.42362	7.39242	7.27397	6.75711	6.90202	7.87068	7.56359	7.53552			NP_248769.1;AAG03469.1	NP_248769.1;AAG03469.1		
6.43369	6.58494	6.36844	6.20974	6.41515	6.48003	6.47808	6.4017	6.19119	6.66632	6.27027	6.58858	6.62105	6.46633	6.17225			NP_248770.1;AAG03470.1	NP_248770.1;AAG03470.1		
6.42908	6.09461	6.62502	6.82593	6.74113	6.98597	6.70803	6.72919	6.73123	6.9744	6.83573	6.92539	6.89447	6.84557	6.89651			NP_248771.1;AAG03471.1	NP_248771.1;AAG03471.1		
6.85207	6.93183	6.93141	7.17664	7.07229	7.1494	6.82223	6.85695	6.82127	6.92313	6.99125	6.97505	6.85124	6.18076	6.50341			NP_248772.1;AAG03472.1	NP_248772.1;AAG03472.1		
7.73118	7.59208	7.66292	7.89442	7.86884	7.9835	7.88674	7.89237	7.8412	7.88207	7.87017	8.05227	8.14298	7.88953	7.78875			NP_248773.1;AAG03473.1	NP_248773.1;AAG03473.1		
8.24167	8.13386	8.20542	8.28905	8.28283	8.31366	8.36581	8.34189	8.34602	8.16823	8.07668	7.9624	8.12584	8.3038	8.31629			NP_248774.1;AAG03474.1	NP_248774.1;AAG03474.1		
8.15785	8.15652	8.03615	8.39062	8.45171	8.43185	8.3311	8.36521	8.33784	8.52073	8.66628	8.67548	8.85289	8.58444	8.57442			NP_248775.1;AAG03475.1;1Y12	NP_248775.1;AAG03475.1;1Y12		
